Tweet.date,Language,Relevant.tweets
#date+week_start,#meta+lang,#indicator+tweets
2019-05-19,en,360
2019-05-19,fr,73
2019-05-26,ar,4
2019-05-26,en,12580
2019-05-26,fr,252
2019-06-02,ar,4
2019-06-02,en,26493
2019-06-02,fr,115
2019-06-09,ar,2
2019-06-09,en,15456
2019-06-09,fr,213
2019-06-16,ar,89
2019-06-16,en,24460
2019-06-16,fr,39
2019-06-23,ar,7
2019-06-23,en,15781
2019-06-23,fr,3
2019-06-30,ar,138
2019-06-30,en,15951
2019-06-30,fr,26
2019-07-07,ar,716
2019-07-07,en,8611
2019-07-07,fr,99
2019-07-14,ar,30296
2019-07-14,en,29173
2019-07-14,fr,226
2019-07-21,ar,33088
2019-07-21,en,31463
2019-07-21,fr,267
2019-07-28,ar,8200
2019-07-28,en,24543
2019-07-28,fr,43
2019-08-04,ar,1879
2019-08-04,en,92964
2019-08-04,fr,153
2019-08-11,ar,2084
2019-08-11,en,79779
2019-08-11,fr,149
2019-08-18,ar,1566
2019-08-18,en,15540
2019-08-18,fr,56